Date,Chl-a
2019-01-31,0.2815
2019-02-28,0.2805
2019-03-31,0.3518
2019-04-30,0.581
2019-05-31,0.672
2019-06-30,0.2009
2019-07-31,0.1719
2019-08-31,0.1421
2019-09-30,0.21
2019-10-31,0.2607
2019-11-30,0.3801
2019-12-31,0.3074
2020-01-31,0.3718
2020-02-29,0.2808
2020-03-31,0.4514
2020-04-30,1.177
2020-05-31,0.551
2020-06-30,0.3262
2020-07-31,0.267
2020-08-31,0.2327
2020-09-30,0.3523
2020-10-31,0.3496
2020-11-30,0.4832
2020-12-31,0.3687
